complaint_id,customer_id,complaint_type,description,status,created_date,resolved_date
CMP00001,CUST1539,Service,Issue reported,Open,2026-02-23,2026-02-23
CMP00002,CUST1048,Billing,Issue reported,Open,2026-01-20,2026-01-20
CMP00003,CUST0728,Billing,Issue reported,Open,2026-02-23,2026-02-23
CMP00004,CUST1053,Billing,Issue reported,Closed,2025-09-11,2025-09-11
CMP00005,CUST1101,Billing,Issue reported,Closed,2025-05-15,2025-05-15
CMP00006,CUST0028,Service,Issue reported,Open,2026-01-13,2026-01-13
CMP00007,CUST0391,Service,Issue reported,Open,2025-11-30,2025-11-30
CMP00008,CUST0207,Billing,Issue reported,Open,2025-09-14,2025-09-14
CMP00009,CUST1286,Service,Issue reported,Closed,2025-08-10,2025-08-10
CMP00010,CUST1234,Service,Issue reported,Closed,2025-05-31,2025-05-31
CMP00011,CUST1704,Billing,Issue reported,Open,2026-04-10,2026-04-10
CMP00012,CUST1719,Service,Issue reported,Closed,2026-04-14,2026-04-14
CMP00013,CUST1791,Network,Issue reported,Closed,2025-12-19,2025-12-19
CMP00014,CUST0143,Billing,Issue reported,Open,2025-07-28,2025-07-28
CMP00015,CUST1565,Service,Issue reported,Closed,2025-09-04,2025-09-04
CMP00016,CUST1683,Billing,Issue reported,Closed,2025-10-08,2025-10-08
CMP00017,CUST0460,Network,Issue reported,Open,2025-05-05,2025-05-05
CMP00018,CUST1330,Billing,Issue reported,Closed,2025-07-05,2025-07-05
CMP00019,CUST0984,Billing,Issue reported,Closed,2026-01-07,2026-01-07
CMP00020,CUST0166,Service,Issue reported,Closed,2025-09-08,2025-09-08
CMP00021,CUST0246,Service,Issue reported,Open,2026-01-08,2026-01-08
CMP00022,CUST0613,Service,Issue reported,Open,2026-02-10,2026-02-10
CMP00023,CUST1258,Billing,Issue reported,Open,2026-01-28,2026-01-28
CMP00024,CUST1853,Service,Issue reported,Closed,2025-10-05,2025-10-05
CMP00025,CUST1066,Billing,Issue reported,Closed,2025-04-29,2025-04-29
CMP00026,CUST0578,Billing,Issue reported,Open,2025-06-01,2025-06-01
CMP00027,CUST1955,Service,Issue reported,Open,2025-05-09,2025-05-09
CMP00028,CUST0873,Network,Issue reported,Open,2026-01-06,2026-01-06
CMP00029,CUST1325,Service,Issue reported,Open,2025-06-06,2025-06-06
CMP00030,CUST1710,Billing,Issue reported,Open,2025-12-30,2025-12-30
CMP00031,CUST0135,Service,Issue reported,Open,2025-12-02,2025-12-02
CMP00032,CUST1684,Service,Issue reported,Open,2025-06-01,2025-06-01
CMP00033,CUST0556,Network,Issue reported,Open,2025-11-01,2025-11-01
CMP00034,CUST1101,Service,Issue reported,Closed,2026-01-27,2026-01-27
CMP00035,CUST1184,Network,Issue reported,Open,2025-07-31,2025-07-31
CMP00036,CUST0633,Service,Issue reported,Open,2025-05-31,2025-05-31
CMP00037,CUST1577,Network,Issue reported,Closed,2026-03-14,2026-03-14
CMP00038,CUST1188,Service,Issue reported,Open,2025-11-16,2025-11-16
CMP00039,CUST1397,Service,Issue reported,Open,2026-01-11,2026-01-11
CMP00040,CUST0245,Billing,Issue reported,Closed,2025-12-22,2025-12-22
CMP00041,CUST1585,Service,Issue reported,Open,2025-10-15,2025-10-15
CMP00042,CUST0063,Network,Issue reported,Closed,2026-03-14,2026-03-14
