recharge_id,customer_id,recharge_date,amount,payment_mode
REC00001,CUST1866,2025-10-11,199,UPI
REC00002,CUST1202,2025-06-14,249,Card
REC00003,CUST0074,2025-04-29,199,UPI
REC00004,CUST1501,2026-02-02,249,UPI
REC00005,CUST0538,2025-05-03,149,NetBanking
REC00006,CUST1211,2026-03-20,399,NetBanking
REC00007,CUST0389,2025-06-22,299,UPI
REC00008,CUST0224,2026-02-11,399,Card
REC00009,CUST0293,2025-09-13,199,Card
REC00010,CUST0750,2026-02-04,249,Card
REC00011,CUST1777,2026-04-18,249,NetBanking
REC00012,CUST1353,2025-11-18,249,Card
REC00013,CUST0503,2026-03-21,249,Card
REC00014,CUST1754,2025-09-17,199,NetBanking
REC00015,CUST1786,2025-05-31,199,NetBanking
REC00016,CUST1192,2026-03-28,399,NetBanking
REC00017,CUST1995,2025-07-07,299,Card
REC00018,CUST0391,2025-11-13,199,NetBanking
REC00019,CUST1212,2025-10-20,149,Card
REC00020,CUST1261,2026-01-06,299,NetBanking
REC00021,CUST0690,2025-11-23,399,Card
REC00022,CUST1301,2025-07-10,399,Card
REC00023,CUST1216,2025-11-03,299,NetBanking
REC00024,CUST1984,2026-02-23,149,UPI
REC00025,CUST0588,2026-03-13,249,UPI
REC00026,CUST1253,2026-03-29,299,NetBanking
REC00027,CUST0648,2026-03-17,299,Card
REC00028,CUST1917,2025-12-23,399,UPI
REC00029,CUST0169,2026-01-25,149,Card
REC00030,CUST0150,2025-10-31,299,Card
REC00031,CUST0625,2026-04-15,149,Card
REC00032,CUST1143,2025-10-03,199,NetBanking
REC00033,CUST1229,2025-11-23,199,NetBanking
REC00034,CUST0678,2025-10-06,249,Card
REC00035,CUST0639,2025-10-16,199,UPI
REC00036,CUST1074,2025-11-28,149,Card
REC00037,CUST1220,2025-10-15,299,Card
REC00038,CUST0860,2026-01-27,149,NetBanking
REC00039,CUST0865,2026-03-21,299,UPI
REC00040,CUST0617,2025-08-27,399,UPI
REC00041,CUST0510,2025-11-11,149,Card
REC00042,CUST1692,2026-04-16,199,Card
REC00043,CUST1693,2025-06-18,149,Card
REC00044,CUST0182,2026-04-03,249,NetBanking
REC00045,CUST0126,2025-07-12,299,NetBanking
REC00046,CUST1119,2026-03-22,199,NetBanking
REC00047,CUST1266,2025-11-21,199,Card
REC00048,CUST1171,2025-08-25,249,UPI
REC00049,CUST0966,2026-04-01,149,Card
REC00050,CUST0179,2026-01-30,149,Card
REC00051,CUST0221,2025-06-11,149,NetBanking
REC00052,CUST0928,2025-12-07,299,NetBanking
REC00053,CUST1352,2026-01-16,149,Card
REC00054,CUST0731,2026-03-07,399,UPI
REC00055,CUST0771,2026-02-19,299,NetBanking
REC00056,CUST1787,2025-10-31,299,UPI
REC00057,CUST0366,2025-09-24,299,Card
REC00058,CUST1731,2026-01-15,399,NetBanking
REC00059,CUST1645,2025-10-18,149,Card
REC00060,CUST1752,2025-10-07,199,Card
REC00061,CUST1020,2025-05-09,199,NetBanking
REC00062,CUST0854,2025-10-20,249,UPI
REC00063,CUST0869,2026-02-14,149,Card
REC00064,CUST1757,2025-08-16,199,UPI
REC00065,CUST0280,2025-12-05,299,Card
REC00066,CUST0846,2025-06-29,299,NetBanking
REC00067,CUST1150,2025-09-24,149,UPI
REC00068,CUST0854,2025-10-15,399,UPI
REC00069,CUST0910,2025-07-31,249,Card
REC00070,CUST1769,2025-08-08,399,UPI
