tower_id,location,city,state,signal_strength,status
TWR001,Area_1,North Paul,Karnataka,Weak,Active
TWR002,Area_2,Suttonland,Karnataka,Weak,Inactive
TWR003,Area_3,Port Nathaniel,Karnataka,Strong,Inactive
TWR004,Area_4,Andreaberg,Karnataka,Weak,Inactive
TWR005,Area_5,Wiseton,Karnataka,Medium,Active
TWR006,Area_6,Cowanborough,Karnataka,Weak,Active
TWR007,Area_7,Lake Kevinside,Karnataka,Medium,Active
TWR008,Area_8,Teresamouth,Karnataka,Medium,Active
TWR009,Area_9,Jamieburgh,Karnataka,Weak,Active
TWR010,Area_10,South Danielletown,Karnataka,Weak,Active
TWR011,Area_11,Anitaberg,Karnataka,Medium,Inactive
TWR012,Area_12,Morseland,Karnataka,Medium,Active
TWR013,Area_13,West Victoria,Karnataka,Medium,Active
TWR014,Area_14,East Lisabury,Karnataka,Medium,Inactive
TWR015,Area_15,Port Debra,Karnataka,Strong,Active
TWR016,Area_16,South Jeffreyhaven,Karnataka,Medium,Inactive
TWR017,Area_17,Riveraville,Karnataka,Medium,Active
TWR018,Area_18,Diamondport,Karnataka,Strong,Inactive
TWR019,Area_19,South Kenneth,Karnataka,Medium,Inactive
TWR020,Area_20,New Joseph,Karnataka,Weak,Active
TWR021,Area_21,Georgeshire,Karnataka,Weak,Active
TWR022,Area_22,South Davidside,Karnataka,Strong,Inactive
TWR023,Area_23,New Benjaminmouth,Karnataka,Strong,Active
TWR024,Area_24,West Angela,Karnataka,Medium,Inactive
TWR025,Area_25,Thomasmouth,Karnataka,Medium,Active
TWR026,Area_26,New Katelyn,Karnataka,Weak,Active
TWR027,Area_27,Sandrabury,Karnataka,Medium,Active
TWR028,Area_28,East Anitamouth,Karnataka,Medium,Inactive
TWR029,Area_29,Davidton,Karnataka,Weak,Inactive
TWR030,Area_30,Patrickburgh,Karnataka,Strong,Active
TWR031,Area_31,Kaylaberg,Karnataka,Weak,Active
TWR032,Area_32,Port Christina,Karnataka,Strong,Inactive
TWR033,Area_33,South Barrychester,Karnataka,Strong,Active
TWR034,Area_34,Ballardbury,Karnataka,Strong,Inactive
TWR035,Area_35,Tinaborough,Karnataka,Strong,Active
TWR036,Area_36,Bobbyborough,Karnataka,Strong,Inactive
TWR037,Area_37,Jasonberg,Karnataka,Weak,Active
TWR038,Area_38,Port Darrenport,Karnataka,Medium,Active
TWR039,Area_39,South Daniel,Karnataka,Weak,Active
TWR040,Area_40,West Audreystad,Karnataka,Strong,Inactive
TWR041,Area_41,New Scott,Karnataka,Medium,Inactive
TWR042,Area_42,Hutchinsonside,Karnataka,Weak,Inactive
TWR043,Area_43,West Robert,Karnataka,Medium,Inactive
TWR044,Area_44,Austinfurt,Karnataka,Strong,Active
TWR045,Area_45,Dominicchester,Karnataka,Strong,Inactive
TWR046,Area_46,Porterberg,Karnataka,Weak,Active
TWR047,Area_47,Bennettchester,Karnataka,Medium,Inactive
TWR048,Area_48,New Suzanne,Karnataka,Strong,Active
TWR049,Area_49,Donaldsonchester,Karnataka,Strong,Active
TWR050,Area_50,Tiffanyton,Karnataka,Weak,Inactive
