usage_id,customer_id,date,data_usage_mb,call_minutes,sms_count
USG00001,CUST1736,2026-04-14,780,288,77
USG00002,CUST1420,2025-04-29,1431,45,10
USG00003,CUST0685,2025-07-23,364,436,40
USG00004,CUST1419,2026-03-18,1864,496,56
USG00005,CUST0786,2025-05-26,443,456,17
USG00006,CUST0851,2025-04-27,653,449,89
USG00007,CUST0107,2025-09-15,925,17,27
USG00008,CUST0016,2025-08-15,1950,253,77
USG00009,CUST1774,2025-05-20,581,38,51
USG00010,CUST0371,2026-04-08,1511,447,74
USG00011,CUST0836,2026-04-17,1256,211,81
USG00012,CUST0186,2025-07-05,1507,137,88
USG00013,CUST1369,2025-11-20,1528,350,67
USG00014,CUST1153,2025-12-26,1961,425,92
USG00015,CUST1376,2025-11-07,895,495,62
USG00016,CUST1918,2026-02-14,723,142,42
USG00017,CUST0366,2026-04-19,1705,115,49
USG00018,CUST1434,2025-07-10,1155,170,16
USG00019,CUST1345,2025-11-05,151,397,30
USG00020,CUST1281,2026-04-07,1118,138,89
USG00021,CUST1941,2025-05-08,1046,275,12
USG00022,CUST0060,2026-04-06,1112,64,60
USG00023,CUST0279,2025-12-20,1198,329,36
USG00024,CUST1130,2025-08-13,451,220,48
USG00025,CUST1492,2026-04-15,468,446,30
USG00026,CUST0488,2025-11-04,164,300,37
USG00027,CUST1136,2025-08-18,725,322,43
USG00028,CUST1530,2026-01-07,288,427,90
USG00029,CUST1512,2025-12-03,1655,157,1
USG00030,CUST1274,2025-10-19,696,191,52
USG00031,CUST0291,2026-03-29,1910,201,16
USG00032,CUST1618,2025-05-14,542,76,91
USG00033,CUST1339,2025-12-25,952,81,96
USG00034,CUST1902,2025-12-12,1099,460,25
USG00035,CUST0880,2025-08-22,291,439,79
USG00036,CUST0694,2025-08-09,1230,140,49
USG00037,CUST1554,2026-02-04,403,343,43
USG00038,CUST0603,2025-08-05,1661,89,34
USG00039,CUST1079,2025-10-05,946,415,36
USG00040,CUST0794,2026-03-22,1070,187,80
USG00041,CUST0603,2025-10-09,238,336,39
USG00042,CUST1397,2025-05-17,1668,201,61
USG00043,CUST0409,2026-02-10,1162,472,12
USG00044,CUST1521,2025-06-23,964,490,34
USG00045,CUST1418,2025-09-24,707,282,33
USG00046,CUST1199,2025-04-24,1607,302,62
USG00047,CUST1100,2025-10-23,991,286,16
USG00048,CUST0075,2025-12-08,1608,370,45
USG00049,CUST0869,2026-03-16,843,55,10
USG00050,CUST0321,2025-08-19,1650,397,4
USG00051,CUST1175,2025-11-03,911,207,59
USG00052,CUST0558,2026-03-06,1218,83,53
USG00053,CUST0511,2025-10-25,788,294,23
USG00054,CUST0592,2025-09-21,1717,39,75
USG00055,CUST1755,2025-06-21,689,98,41
USG00056,CUST0226,2025-12-11,416,319,76
USG00057,CUST0586,2025-05-20,1657,207,54
USG00058,CUST1866,2025-05-15,1055,479,52
USG00059,CUST1715,2025-05-06,1724,234,50
USG00060,CUST1880,2025-12-03,575,29,17
USG00061,CUST1873,2026-01-11,232,406,18
USG00062,CUST0436,2025-12-28,1079,135,82
USG00063,CUST1096,2025-08-30,810,449,98
USG00064,CUST1846,2025-12-04,289,459,16
USG00065,CUST0419,2025-11-20,1860,87,51
USG00066,CUST1235,2025-10-21,584,420,63
USG00067,CUST1939,2025-10-03,1405,343,4
USG00068,CUST1608,2025-07-23,290,438,45
USG00069,CUST0246,2025-12-21,1374,301,83
USG00070,CUST0869,2025-09-24,1761,185,80
USG00071,CUST0108,2025-04-30,901,432,28
USG00072,CUST0563,2026-03-31,1192,429,1
USG00073,CUST1838,2025-07-28,862,490,17
USG00074,CUST0029,2025-06-10,1704,422,4
USG00075,CUST1198,2025-12-30,443,267,74
USG00076,CUST0020,2025-05-13,1172,119,89
USG00077,CUST0362,2025-06-22,619,157,51
USG00078,CUST0363,2026-01-07,1914,32,55
USG00079,CUST1425,2026-01-22,905,439,69
